cluster.index,componentindex,merge
9826,1492,X1001.4_8.1
1052,30,X1001.7_8.9
9539,-1,X1001.9_5
8617,-1,X1002.3_5.4
1609,-1,X1002.7_8.7
14395,-1,X1002.9_5.4
2986,405,X1004.4_6.2
2745,-1,X1004.5_4.8
2946,-1,X1004.7_4.5
12874,-1,X1005_4.9
20086,-1,X1005.1_4.7
5465,405,X1005.2_6.3
7017,-1,X1005.3_8.4
5185,-1,X1005.7_6.1
5474,-1,X1005.9_3.9
5032,-1,X1005.9_6.2
5346,-1,X1006.2_4.3
3703,-1,X1006.3_7.8
4212,363,X1006.4_6.2
4349,-1,X1006.5_6.1
4587,-1,X1006.7_4.3
4397,-1,X1007.1_4.2
927,-1,X1007.2_6.1
21240,-1,X1007.2_6.4
10242,-1,X1007.2_7
4715,-1,X1007.7_3.6
18813,-1,X1007.8_4
11371,-1,X1008.2_8.9
17808,806,X1008.6_5
5111,-1,X1008.8_8.2
20277,-1,X1009_6.8
11625,-1,X1009.4_8.2
9437,-1,X1009.5_5.7
8197,62,X1009.5_8
19157,-1,X1010.7_3.9
20226,-1,X1011.1_4.1
17557,-1,X1011.3_8.1
23037,541,X1011.5_6.2
7094,-1,X1012.2_6.1
18271,-1,X1012.7_4
31155,-1,X1013_2.5
19966,-1,X1013_6.1
752,-1,X1013.7_6.1
11305,-1,X1013.9_8
5650,-1,X1014.7_5.7
9856,1785,X1014.7_6.1
8214,-1,X1014.7_8.5
9352,-1,X1014.8_5.5
21173,-1,X1014.9_5.3
7729,-1,X1015.4_5.6
11196,-1,X1015.5_5.7
926,-1,X1015.7_6.1
5527,-1,X1016.2_5.5
9920,-1,X1016.4_6.1
19453,-1,X1016.4_6.4
9863,-1,X1016.6_6.2
9747,-1,X1016.8_4
9248,-1,X1017.2_4.8
3930,-1,X1017.4_7
9091,696,X1018.1_4
12140,-1,X1018.7_4
7333,-1,X1018.9_8
23449,696,X1019_4.1
12891,-1,X1020.7_4.3
20864,-1,X1021.1_5.8
25921,-1,X1021.4_4.2
11345,62,X1021.5_7.9
15834,-1,X1021.6_7.1
11330,-1,X1022.1_8.6
11352,-1,X1022.3_8.9
6752,-1,X1022.7_6.6
13168,-1,X1023.6_8.3
13683,-1,X1024.3_6.1
21646,-1,X1024.8_5.1
7114,-1,X1024.8_6.4
6594,-1,X1024.8_6.6
11296,30,X1024.9_8.5
14198,-1,X1025.6_6.6
11110,-1,X1026.2_8.5
23932,-1,X1026.3_5.1
15963,-1,X1026.8_4.8
11308,62,X1027.5_7.2
21391,-1,X1028.1_4.8
6966,-1,X1028.7_6.3
3640,-1,X1028.8_6.1
13199,-1,X1029.3_6.2
1527,62,X1029.6_7
9843,493,X1030.4_5.9
8106,-1,X1030.4_9
4576,-1,X1031_5
13146,-1,X1031.1_4.8
18942,493,X1031.4_5.9
11318,-1,X1031.8_7
11626,1492,X1032.1_8.5
10037,-1,X1034.2_8.4
4706,-1,X1034.5_6.2
11920,-1,X1034.9_5.1
10346,62,X1035_8.1
21145,-1,X1035.3_5.2
10313,-1,X1035.4_7.6
750,-1,X1035.6_6.1
10301,236,X1035.6_9
8091,62,X1035.7_8.1
23500,-1,X1036_5.2
18976,62,X1036.5_8.1
7136,-1,X1036.7_5.2
14649,62,X1037.1_8.5
13877,-1,X1037.6_5.2
986,62,X1037.6_8.6
18983,-1,X1037.8_4.3
20547,557,X1038.3_5.2
5531,1308,X1038.3_6.6
4875,-1,X1038.9_3.9
21954,-1,X1038.9_8
3263,-1,X1039.2_8.1
23334,-1,X1039.3_3.7
20575,-1,X1039.7_4.9
3174,-1,X1039.8_8.1
2843,-1,X1039.9_5.6
10030,-1,X1041.3_6.6
13945,-1,X1041.5_3
11383,62,X1041.7_7.5
13126,-1,X1042_6.7
30234,62,X1042.1_7.9
18095,-1,X1042.4_9.4
13238,-1,X1043.8_5.3
11332,62,X1043.8_7.3
18334,-1,X1044.5_5.4
12765,-1,X1045_5.3
18510,-1,X1046.4_6.1
11647,-1,X1047.8_8.4
