ID,rep,merge.5,merge,species,cryo,GL_CSSC,zip.code.GPS,state,SPECIES_SOURCE
FYRE1_A-10_H-A10_149-D3.mzXML Peak area,a,149-D3a,X149.D3a,brevicompactum,149-D3,CSSC,48334,MI,brevicompactum-CSSC
FYRE1_A-11_H-A11_519-A7.mzXML Peak area,a,519-A7a,X519.A7a,brevicompactum,519-A7,CSSC,60490,IL,brevicompactum-CSSC
FYRE1_A-12_H-A12_330-C6.mzXML Peak area,a,330-C6a,X330.C6a,brevicompactum,330-C6,CSSC,60513,IL,brevicompactum-CSSC
FYRE1_A-2_H-A2_344-D2.mzXML Peak area,a,344-D2a,X344.D2a,brevicompactum,344-D2,CSSC,60050,IL,brevicompactum-CSSC
FYRE1_A-4_H-A4_380-F3.mzXML Peak area,a,380-F3a,X380.F3a,brevicompactum,380-F3,CSSC,48317,MI,brevicompactum-CSSC
FYRE1_A-5_H-A5_250-D12.mzXML Peak area,a,250-D12a,X250.D12a,brevicompactum,250-D12,CSSC,48060,MI,brevicompactum-CSSC
FYRE1_A-6_H-A6_209-C7.mzXML Peak area,a,209-C7a,X209.C7a,brevicompactum,209-C7,CSSC,60016,IL,brevicompactum-CSSC
FYRE1_A-7_H-A7_280-D11.mzXML Peak area,a,280-D11a,X280.D11a,brevicompactum,280-D11,CSSC,60016,IL,brevicompactum-CSSC
FYRE1_A-8_H-A8_168-G7.mzXML Peak area,a,168-G7a,X168.G7a,brevicompactum,168-G7,CSSC,49057,MI,brevicompactum-CSSC
FYRE1_A-9_H-A9_194-C11.mzXML Peak area,a,194-C11a,X194.C11a,brevicompactum,194-C11,CSSC,48206,MI,brevicompactum-CSSC
FYRE1_B-2_H-B2_247-F7.mzXML Peak area,a,247-F7a,X247.F7a,brevicompactum,247-F7,CSSC,54901,WI,brevicompactum-CSSC
FYRE1_B-3_H-B3_426-B10.mzXML Peak area,a,426-B10a,X426.B10a,brevicompactum,426-B10,CSSC,60647,IL,brevicompactum-CSSC
FYRE1_C-11_H-D4_380-F3.mzXML Peak area,b,380-F3b,X380.F3b,brevicompactum,380-F3,CSSC,48317,MI,brevicompactum-CSSC
FYRE1_C-12_H-D5_250-D12.mzXML Peak area,b,250-D12b,X250.D12b,brevicompactum,250-D12,CSSC,48060,MI,brevicompactum-CSSC
FYRE1_C-9_H-D2_344-D2.mzXML Peak area,b,344-D2b,X344.D2b,brevicompactum,344-D2,CSSC,60050,IL,brevicompactum-CSSC
FYRE1_D-1_H-D6_209-C7.mzXML Peak area,b,209-C7b,X209.C7b,brevicompactum,209-C7,CSSC,60016,IL,brevicompactum-CSSC
FYRE1_D-10_H-E3_426-B10.mzXML Peak area,b,426-B10b,X426.B10b,brevicompactum,426-B10,CSSC,60647,IL,brevicompactum-CSSC
FYRE1_D-2_H-D7_280-D11.mzXML Peak area,b,280-D11b,X280.D11b,brevicompactum,280-D11,CSSC,60016,IL,brevicompactum-CSSC
